id;source;source_id;target;target_id;label;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;CH4;CH40;CH4_set;CO2;CO20;CO2_set;H2O;H2O0;H2O_set;N2;N20;N2_set;O2;O20;O2_set;balance
0x7f58930b8220;ambient air;out1;compressor;in1;1;[];[];nan;False;False;90.93945653850614;kg / s;90.93945653850614;False;nan;nan;nan;False;1.0130000000000012;bar;1.0130000000000012;True;nan;nan;nan;False;327381.6035266838;J / kg;327381.6035266838;False;nan;nan;nan;False;25.000000000000114;C;nan;True;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;77.66679088971871;m3 / s;nan;False;nan;nan;nan;False;0.0;C;nan;False;nan;nan;nan;False;nan;False;0;0;True;0.0004608534530315664;0.0004608534530315664;True;0.011947760940873214;0.011947760940873214;True;0.7576155344954176;0.7576155344954176;True;0.22997585111067764;0.22997585111067764;True;False
0x7f58930b8460;compressor;out1;air preheater;in2;2;[];[];nan;False;False;90.93945653850614;kg / s;90.93945653850614;False;nan;nan;nan;False;10.130000000000011;bar;10.130000000000011;False;nan;nan;nan;False;653922.9812481839;J / kg;653922.9812481839;False;nan;nan;nan;False;338.3552734300349;C;nan;False;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;15.97410649001905;m3 / s;nan;False;nan;nan;nan;False;0.0;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0.0004608534530315664;0.0004608534530315664;False;0.011947760940873214;0.011947760940873214;False;0.7576155344954176;0.7576155344954176;False;0.22997585111067764;0.22997585111067764;False;False
0x7f58930b86a0;air preheater;out2;combustion chamber;in1;3;[];[];nan;False;False;90.93945653850614;kg / s;90.93945653850614;False;nan;nan;nan;False;9.62350000000001;bar;9.62350000000001;False;nan;nan;nan;False;916984.0219768079;J / kg;916984.0219768079;False;nan;nan;nan;False;576.8499999999774;C;nan;True;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;23.36435657445024;m3 / s;nan;False;nan;nan;nan;False;0.0;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0.0004608534530315664;0.0004608534530315664;False;0.0119477609408732;0.0119477609408732;False;0.7576155344954181;0.7576155344954181;False;0.22997585111067764;0.22997585111067764;False;False
0x7f58930b88e0;methane;out1;combustion chamber;in2;10;[];[];nan;False;False;1.646622961169212;kg / s;1.646622961169212;False;nan;nan;nan;False;12.000000000000005;bar;12.000000000000005;True;nan;nan;nan;False;899139.9590977487;J / kg;899139.9590977487;False;nan;nan;nan;False;25.00000000000051;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.20766556595900726;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;False
0x7f589303b130;combustion chamber;out1;gas turbine;in1;4;[];[];nan;False;False;92.58607949967535;kg / s;92.58607949967535;False;nan;nan;nan;False;9.142325000000008;bar;9.142325000000008;False;nan;nan;nan;False;1879591.930719671;J / kg;1879591.930719671;False;nan;nan;nan;False;1246.8499999996516;C;nan;True;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;45.35795373400255;m3 / s;nan;False;nan;nan;nan;False;0.0;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0.049241183360170804;0.049241183360170804;False;0.051678120506460506;0.051678120506460506;False;0.7441415096573426;0.7441415096573426;False;0.1549391155266999;0.1549391155266999;False;False
0x7f58930b9180;gas turbine;out1;air preheater;in1;5;[];[];nan;False;False;92.58607949967535;kg / s;92.58607949967535;False;nan;nan;nan;False;1.0992946283233862;bar;1.0992946283233862;False;nan;nan;nan;False;1234835.227013067;J / kg;1234835.227013067;False;nan;nan;nan;False;738.1788995720074;C;nan;False;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;250.71020210347265;m3 / s;nan;False;nan;nan;nan;False;0.0;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0.049241183360170804;0.049241183360170804;False;0.051678120506460506;0.051678120506460506;False;0.7441415096573426;0.7441415096573426;False;0.1549391155266999;0.1549391155266999;False;False
0x7f58930b8fd0;air preheater;out1;evaporator;in1;6;[];[];nan;False;False;92.58607949967535;kg / s;92.58607949967535;False;nan;nan;nan;False;1.0663157894736843;bar;1.0663157894736843;False;nan;nan;nan;False;976452.6687538765;J / kg;976452.6687538765;False;nan;nan;nan;False;521.6550884360868;C;nan;False;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;203.13197503160558;m3 / s;nan;False;nan;nan;nan;False;0.0;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0.049241183360170804;0.049241183360170804;False;0.051678120506460506;0.051678120506460506;False;0.7441415096573426;0.7441415096573426;False;0.1549391155266999;0.1549391155266999;False;False
0x7f58930b8eb0;evaporator;out1;economizer;in1;6p;[];[];nan;False;False;92.58607949967535;kg / s;92.58607949967535;False;nan;nan;nan;False;1.039316070662261;bar;1.039316070662261;False;nan;nan;nan;False;680441.41654804;J / kg;680441.41654804;False;nan;nan;nan;False;259.7243047110928;C;nan;False;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;139.72586514514728;m3 / s;nan;False;nan;nan;nan;False;0.0;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0.049241183360170804;0.049241183360170804;False;0.051678120506460506;0.051678120506460506;False;0.7441415096573426;0.7441415096573426;False;0.1549391155266999;0.1549391155266999;False;False
0x7f58930b94b0;economizer;out1;chimney;in1;7;[];[];nan;False;False;92.58607949967535;kg / s;92.58607949967535;False;nan;nan;nan;False;1.013;bar;1.013;True;nan;nan;nan;False;569451.7581534822;J / kg;569451.7581534822;False;nan;nan;nan;False;157.3237698841919;C;nan;False;nan;nan;nan;False;0.0;-;nan;False;nan;nan;nan;False;115.79883171313934;m3 / s;nan;False;nan;nan;nan;False;0.0;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0.049241183360170804;0.049241183360170804;False;0.051678120506460506;0.051678120506460506;False;0.7441415096573426;0.7441415096573426;False;0.1549391155266999;0.1549391155266999;False;False
0x7f589303b1c0;feed water;out1;economizer;in2;8;[];[];nan;False;False;14.0;kg / s;14.0;True;nan;nan;nan;False;20.0;bar;20.0;True;nan;nan;nan;False;106676.984248934;J / kg;106676.984248934;False;nan;nan;nan;False;24.999999999987608;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.014029427288475454;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;True;0.0;0.0;True;1.0;1.0;True;0.0;0.0;True;0.0;0.0;True;False
